month,BATTERY,GAMBLING,CRIMINAL DAMAGE,OFFENSE INVOLVING CHILDREN,THEFT,ASSAULT,NARCOTICS,CRIM SEXUAL ASSAULT,DECEPTIVE PRACTICE,WEAPONS VIOLATION,OTHER OFFENSE,MOTOR VEHICLE THEFT,SEX OFFENSE,BURGLARY,PUBLIC PEACE VIOLATION,LIQUOR LAW VIOLATION,ROBBERY,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,KIDNAPPING,PROSTITUTION,STALKING,INTIMIDATION,CRIMINAL SEXUAL ASSAULT,ARSON,RITUALISM,DOMESTIC VIOLENCE,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,CONCEALED CARRY LICENSE VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL
1,101302,360,62574,6213,123454,34818,65943,2575,30291,7934,42162,30240,2725,32639,3499,1140,23412,18471,1332,795,596,6383,378,358,539,917,3,1.0,75,8,8,62,11,15,1,2
2,93601,389,55428,3997,104948,33416,63923,1896,25387,6400,38578,25130,2019,25652,3401,1095,17271,16679,1313,652,521,5659,313,303,435,807,1,,52,13,15,69,12,9,2,5
3,117869,744,71873,4617,123733,41709,69127,2112,28648,8171,43249,28740,2367,30073,4669,1424,20190,18734,1486,794,616,6141,399,393,504,1111,3,,88,12,9,77,12,9,1,0
4,118500,1238,75104,4445,125642,42031,62989,2134,27702,8408,41632,27909,2274,31372,4341,1347,20907,17737,1437,964,556,6034,392,377,438,1097,1,,51,9,13,78,11,3,1,1
5,135678,1637,79685,4877,137505,48453,63168,2404,27554,9938,42213,29635,2804,36066,5493,1392,23707,18379,1645,1118,685,6089,396,412,538,1230,1,,72,18,22,96,12,6,0,4
6,135905,1874,78921,4785,143411,47255,59008,2512,28276,9402,40654,30414,2934,35958,4976,1476,24407,17492,1693,1275,678,5574,419,392,592,1236,0,,65,9,22,92,14,9,0,9
7,136817,1964,83397,4539,159067,47900,61935,2676,28540,9788,41548,32668,3064,39279,4721,1350,27243,18029,1787,1387,625,5875,429,425,604,1350,1,,72,17,13,95,17,7,1,2
8,128734,2219,81708,4595,158942,46455,64400,2596,29192,9887,41093,32727,2895,40597,4397,1303,27395,18564,1819,1252,584,6284,406,405,586,1182,3,,52,18,25,96,18,9,1,5
9,122346,1799,75468,4414,145609,45427,60925,2449,27924,9435,37167,31708,2785,38388,4884,1262,26167,17914,1677,1211,620,5877,395,441,560,1131,3,,68,14,19,118,17,14,1,5
10,118812,1305,80061,4351,146803,42925,61757,2336,29479,9190,39438,33765,2505,39550,4861,1218,27762,18330,1497,1081,538,5925,402,444,583,1118,3,,93,6,15,99,22,9,0,2
11,102961,740,71565,4110,131234,36390,59053,2043,27941,7952,36330,31639,2151,37037,3656,1077,25467,16736,1340,964,583,5557,403,321,498,1019,2,,60,15,19,73,21,2,0,2
12,98364,347,63130,4337,126644,34324,53927,1851,30024,7401,35110,32011,1919,35635,3188,762,25749,15804,1180,901,583,4352,332,324,476,923,3,,62,8,13,64,14,4,1,1
